"company_name","id","title","location","yearly_salary","remote","type"
"Mantys",226942,"Data Analyst","Anywhere","650000.0",1,"Full-time"
"Meta",547382,"Data Analyst","Anywhere","336500.0",1,"Full-time"
"AT&T",552322,"Data Analyst","Anywhere","255829.5",1,"Full-time"
"Pinterest Job Advertisements",99305,"Data Analyst","Anywhere","232423.0",1,"Full-time"
"Uclahealthcareers",1021647,"Data Analyst","Anywhere","217000.0",1,"Full-time"
"SmartAsset",168310,"Data Analyst","Anywhere","205000.0",1,"Full-time"
"Inclusively",731368,"Data Analyst","Anywhere","189309.0",1,"Full-time"
"Motional",310660,"Data Analyst","Anywhere","189000.0",1,"Full-time"
"SmartAsset",1749593,"Data Analyst","Anywhere","186000.0",1,"Full-time"
"Get It Recruit - Information Technology",387860,"Data Analyst","Anywhere","184000.0",1,"Full-time"
"Robert Half",1781684,"Data Analyst","Anywhere","170000.0",1,"Full-time"
"A-Line Staffing Solutions",1352513,"Data Analyst","Anywhere","170000.0",1,"Full-time"
"Kelly Science, Engineering, Technology & Telecom",987523,"Data Analyst","Anywhere","170000.0",1,"Contractor"
"Uber",1525451,"Data Analyst","Anywhere","167000.0",1,"Full-time"
"Plexus Resource Solutions",1246069,"Data Analyst","Anywhere","165000.0",1,"Full-time"
"Get It Recruit - Information Technology",712473,"Data Analyst","Anywhere","165000.0",1,"Full-time"
"Mayo Clinic",1423236,"Data Analyst","Anywhere","164746.0",1,"Full-time"
"Mayo Clinic",1799883,"Data Analyst","Anywhere","164746.0",1,"Full-time"
"CEDARS-SINAI",618890,"Data Analyst","Anywhere","163500.0",1,"Full-time"
"DIRECTV",918213,"Data Analyst","Anywhere","160515.0",1,"Full-time"
"Get It Recruit - Information Technology",182813,"Data Analyst","Anywhere","160000.0",1,"Full-time"
"Realtime Recruitment",475626,"Data Analyst","Anywhere","160000.0",1,"Full-time"
"Robert Half",783771,"Data Analyst","Anywhere","160000.0",1,"Full-time"
"Uber",266799,"Data Analyst","Anywhere","157500.0",1,"Full-time"
"Edgewater Federal Solutions, Inc.",485388,"Data Analyst","Anywhere","157500.0",1,""
"CaptivateIQ",25761,"Data Analyst","Anywhere","155485.5",1,"Full-time"
"Motion Recruitment",105157,"Data Analyst","Anywhere","155000.0",1,"Full-time"
"Zscaler",565646,"Data Analyst","Anywhere","152625.0",1,"Full-time"
"Zscaler",795614,"Data Analyst","Anywhere","152625.0",1,"Full-time"
"Rocket Money",540057,"Data Analyst","Anywhere","152500.0",1,"Full-time"
"US Patent and Trademark Office",72957,"Data Analyst","Anywhere","152221.5",1,"Full-time and Part-time"
"Get It Recruit - Healthcare",456042,"Data Analyst","Anywhere","151500.0",1,"Full-time"
"Patterned Learning AI",591850,"Data Analyst","Anywhere","150000.0",1,"Full-time"
